id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Pilotage,10,1,0,,"Ça chante quand tu pousses le mélange juste comme il faut, genre, [fredonnement]. Tout va bien dans l'univers, des étoiles jusqu'au plus profond de tes os. En sortant de quart, c'est comme si je venais de me réveiller. [rire] Les mots ne suffisent pas.","Projet d'Entretiens Nachiketa Quai, Ép.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Endurance au Combat,20,1,0,,"Par la calamité, le Quatorzième a enduré.
Par l'hégémonie, le Domain perdure.
Par le devoir, l'humanité perdurera.","Amiral Kali Molina, la Déclaration de l'Hégémonie, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Atténuation d'Impact,30,2,0,,"La manœuvre a produit un angle d'impact oblique, dissipant l'énergie cinétique de l'obus dans le revêtement en ferromousse. C'est le moment malencontreux du choc résultant qui a causé la fin tragique du Spacer York lors d'un transfert d'équipement lourd autrement routinier.","Escarmouche de Thulé du c120.03.08, RAA soumis par le Navarque Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Contrôle des Avaries,40,2,0,,"Ce qui est perdu est perdu. Laissez ces compartiments brûler, concentrez vos efforts sur ce qui nous fera tenir l'heure suivante.","Navarque Tethys, dernier discours à l'équipage du PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Modulation de Champ,50,2,0,,Rares sont ceux qui ont un talent pour ce que j'aime appeler l'« accord actif ». Je trouve que les musiciens font les meilleurs officiers de champ.,"Ardis Soloman, données divulguées soumises à l'algorithme de rédaction du COMSEC",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Défense Rapprochée,60,3,0,,"Moi, j'ai rien à faire de ces lasers et compagnie. Ça fait un sacré spectacle lumineux, c'est sûr, mais rien n'arrête les échos entrants comme le mur d'UA d'une bonne matrice Vulcain.","« Héros du Pont Inférieur », un feuilleton du HEGCOM",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Analyse de Cible,70,4,0,,Un esprit humain assisté par machine est capable d'intuiter des solutions efficaces malgré des données de capteurs contradictoires et des directives tactiques opposées. L'ordinateur de visée seul ne pourra jamais véritablement remplacer un guerrier.,"« Du Combat Spatial, XXIIème éd. », bibliothèque du Groupe de Combat XIV du Domain ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Maîtrise Balistique,80,4,0,,"Qu'est-c'qui a stoppé l'complot Tri-Tach ? (Les canons !)
Qu'est-c'que l'vieux Ludd a oublié ? (Les canons !)
Qu'est-c'qu'on a qu'ils ont pas ? (Des gros, gros canons !)",chanson à boire de la Marine de l'Hégémonie,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,



systems_expertise,Expertise des Systèmes,90,5,4,2,"Non, je ne pense pas que ce soit une contradiction. C'est un, euh, voyage spirituel. On est mis à l'épreuve. Et c'est comme on dit, le Diable est dans les détails.","« Les Fantassins de Ludd » holodoc, entretien avec un ingénieur Sentier",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,Spécialisation Missiles,100,5,4,2,Mes collègues n'apprécient pas leur fantaisie. On a tous ces petits vaisseaux avec lesquels on peut enfreindre toutes les règles parce qu'il n'y a pas besoin de survivre à l'atterrissage.,"Entretien de départ de K. Astraia, ancienne conceptrice d'armement, Forge Stellaire Culann",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,Exercices Tactiques,500,1,0,,"Perfect.
Now do it again.","Cameron Fourth-Phobos, Coatl Gunnery Range",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,Manoeuvres Coordonnées,520,2,0,,"Commandant- contacts hostiles en approche rapide. Gros gabarits. Deux en vue. Non, trois. Plus encore... il y en a trop ! Lecture haute énergie. Contact dans six.","Archive audio du CIC du HSS Ceraon, récupérée le 189.09.13",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,Tactiques de Meute,530,2,0,,Une flotte qui agit d'un seul esprit transforme ces jolies formations tant chéries par les officiers d'état-major en une bête vautrée qui supplie qu'on lui tranche la gorge. Lâchez les chiens pour que nous redevenions des loups.,"Seigneur de Guerre Kanta, cité dans « Mon Année avec la Reine Pirate »",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,Formation d'Équipage,540,2,0,,"Je connais ton genre. T'as signé le contrat avec de la terre sur tes bottes, tout prêt à jouer au spacer. T'as regardé trop d'holos de propagande de l'Hégémonie, pas vrai. Retiens bien ça : le courage n'est pas la compétence. Jouer les héros nous fera tous tuer. C'est le travail minutieux et méthodique qui fait le boulot.","Chaiya Mimas, division de flotte Tri-Tachyon, introduction à la formation",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,Liaison Chasseurs,545,3,0,,"Les pilotes de chasse tissent des légendes autour d'eux-mêmes, mais ils ne sont que la pointe d'une lance que je commande seul.","Commodore Jensulte de la Marine de l'Hégémonie, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,Groupe d'Astroporteurs,550,3,0,,"Les stats nous disent qu'ils seront vaporisés dans un mur de DCA avant une demi-douzaine de missions, mais on veut quand même être comme eux. Une fois dans le cockpit, ils sont les seuls d'entre nous à avoir le contrôle sur leur propre destin.","Projet d'Entretiens Nachiketa Quai, Ép.4",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,Formation d'Officiers,560,4,3,,"Ils ne sont peut-être qu'une « bande disparate de marchands, de contrebandiers et de pirates », mais si vous leur donnez quelque chose pour lequel se battre, je pense qu'ils pourraient vous surprendre.","Navarque Nurul Park, commentaire lors de l'intégration de la marine Cibolane",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,Gestion des Officiers,570,4,3,,"La situation était sombre, alors j'ai promis aux capitaines mercenaires le double de prime de combat. Avec toutes les pertes, je n'ai eu à payer que la moitié d'entre eux. Ça s'est bien passé.","Carson Kang, DG de la division de flotte Valhalla, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,L'Élite,580,5,4,2,"Ce que nous avons, Artemisia, c'est quelque chose qui ne peut s'acheter.",Orcus Rao lors des négociations mettant fin à la Seconde Guerre IA (apocryphe),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,Doctrine de Soutien,590,5,4,2,"Tous les cadets n'ont pas de talent, de compétence, ni même deux neurones à frotter l'un contre l'autre, mais par l'enfer et les radiations, ils obtiendront leur diplôme avec de la discipline.","commentaire non attribué du personnel de l'Académie Coatl, archives du COMSEC",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,Concentration de Forces,590,5,4,2,"Quand j'offrirai la victoire au moment et au lieu de mon choix, l'histoire m'absoudra du sacrifice d'une planète ou deux.","Amiral de Flotte Andrada, discours à l'Assemblée Stratégique de l'Hégémonie ",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,Navigation,1000,1,0,0,"Passez assez de temps ici et ça devient une seconde nature. C'est comme ça que je me déplace quand je rêve. Tout le monde n'y arrive pas. Beaucoup, si.","Projet d'Entretiens Nachiketa Quai, Ép.2",,,,,graphics/icons/skills/navigation.png,
sensors,Senseurs,1010,1,0,0,"Je te vois, petit poisson !","Tampon comm de l'ISS Green Flash, récupéré en orbite de Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,Implants de Tir,1020,2,1,0,"Avec le temps, la réalité augmentée présentée par les implants peut devenir difficile à distinguer de la perception sensorielle normale. L'officier psy devra régulièrement vérifier chez les artilleurs les signes de Trouble Dissociatif d'Augmentation selon les critères suivants...",Un Nouveau Cadre de Commandement : Manuel pour les Officiers de l'Hégémonie,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,Maîtrise des Armes à Énergie,1030,2,1,0,"L'œil d'un ange fut trouvé dans les recoins, caché là par un Dieu miséricordieux aux premiers instants de la création. Ainsi ses secrets furent révélés aux ignorants et aux cruels pour déchaîner une terrible colère ardente. Nous nous lamentons.",Textes Sacrés de Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,Guerre Électronique,1040,4,2,0,"err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]","Celadon Immeasurable, alpha",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,Régulation de Flux,1060,4,2,0,"AVERTISSEMENT : En modifiant ces paramètres, l'utilisateur décharge la Corporation Tri-Tachyon de toute responsabilité pour tout dommage matériel, blessure, décès, ou tout autre effet ou effets spatio-temporels anormaux en résultant. Souhaitez-vous continuer ?","Corporation Tri-Tachyon, licence standard",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,Augmentation Cybernétique,1080,5,4,2,N'écoutez pas ces crypto-Luddiques larmoyants du comité d'éthique ; le taux de rejet est loin de ce que les rumeurs laissent entendre.,"« Docteur » Wyatt Cydonia (alias), interception COMSEC",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,Calibrage des Bobines de Phase,1070,4,2,0,"Tri-Tachyon force chaque jour l'ouverture de la sainte création, et à chaque profanation notre damnation collective se rapproche. Notre voie est le fardeau ; notre voie est la souffrance. Nous les affronterons avec la foi que la seule rédemption est le jugement dernier.","Livewell Cotton, terroriste de la Voie Luddique, sermon du c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,Modifications Spéciales,1080,5,,,"Les gens du Domain, oh, ils concevaient pour durer, c'est vrai. Mais avec tout ce confort, on voit bien qu'ils avaient peur de vraiment pousser ces engins à leurs limites.","Luna Hexagen, ingénieure indépendante, cité d'Agreus",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,Lien Neural,1075,4,2,0,Pourquoi un capitaine devrait-il sombrer avec son vaisseau ? La corporation Tri-Tachyon ne gaspille pas les meilleurs talents.,"VP Opérations Nereid De Jong lors de la cérémonie de dévoilement du « Projet Heket »",,,,,graphics/icons/skills/neural_link.png,
automated_ships,Vaisseaux Automatisés,1090,5,4,2,[REDACTED],COMSEC de l'Hégémonie,,,,,graphics/icons/skills/automated_ships.png,
