id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Population et Infrastructures,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"L'infrastructure de base nécessaire pour soutenir une population donnée, des modules orbitaux d'habitation branlants aux mégalopoles, en passant par tout ce qui se trouve entre les deux.",100,
farming,Agriculture,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"L'agriculture est un métier et une technologie aussi vieux que la civilisation elle-même ; depuis des milliers de cycles, l'Humanité exploite la puissance des machines biologiques naturelles, modifiées ou artificielles pour se nourrir. Il en a toujours été ainsi, et il en sera de même tant que les hommes resteront des hommes.",200,LOW
aquaculture,Aquaculture,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"L'exploitation agricole d'un monde océanique exige un investissement initial considérable en bio-ingénierie pour développer des espèces adaptées. Mais une fois le processus lancé, les fermes algales et les pêcheries peuvent être exploitées par la population sans nécessiter de formation spécialisée ni d'équipements particuliers.",210,MEDIUM
mining,Exploitation Minière,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"L'extraction de minerais métalliques et métalloïdes, de composés organiques et de substances volatiles nécessite des équipements lourds, des infrastructures spécialisées et une main-d'œuvre qualifiée. Ce travail éprouvant attire un type de personnes bien particulier, et une administration peu encline à fermer les yeux de temps à autre risque de se retrouver à court de personnel volontaire.",300,MEDIUM
techmining,Techno-Fouilles,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"Les techno-fouilles sont un art hétéroclite qui consiste à récupérer des artefacts de valeur dans les ruines du Domaine. Elles exigent des outils adaptés pour faire face à des dangers singuliers, ainsi qu'un jugement expert pour savoir où chercher un bon butin. Les plus vieux fouilleurs sont une engeance étrange, accrochés à leurs gris-gris et refusant de travailler sans accomplir leurs rituels.",400,MEDIUM
refining,Raffinage,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,Les fonderies de ce site convertissent les minerais ordinaires et transplutoniennes en métaux et en transplutoniennes affinées. Des robots téléopérés sont généralement chargés d'effectuer les tâches les plus dangereuses.,500,MEDIUM
spaceport,Spatioport,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Installations destinées au chargement et déchargement de cargaisons, ainsi qu'aux réparations de base des vaisseaux stellaires. Une colonie sans spatioport est pratiquement inaccessible au commerce interstellaire.",150,HIGH
megaport,Mégaport,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Un spatioport colossal où les étoiles viennent toucher la terre. Des portiques d'atterrissage ordonnés et des réservoirs de carburant blindés sont reliés par des routes d'accès et des tramways de fret alimentant un dédale de zones d'entrepôts et de terminaux logistiques — le tout rendant la colonie bien plus accessible au reste de la galaxie.,151,EXTREME
lightindustry,Industrie Légère,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"Produit des biens courants et des articles de luxe. L'une des rares industries relativement épargnées par l'Effondrement, en raison de sa nature peu technologique.",1400,MEDIUM
heavyindustry,Industrie Lourde,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infrastructure de fabrication centralisée pour la production d'équipements industriels lourds, de fournitures et d'armements. Capable également de produire des vaisseaux stellaires à peine dignes de l'espace ; une nanoforge peut y être installée pour améliorer la qualité de production.",1600,HIGH
