name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Boucliers Accélérés,advancedshieldemitter,0,,,"defensive, shields, merc, standard",Shields,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,Augmente la vitesse de rotation des boucliers du vaisseau de %s et la vitesse de déploiement des boucliers de %s.,Augmente la vitesse de rotation et de déploiement des boucliers.,Augmente la vitesse de rotation et de déploiement des boucliers de %s supplémentaires.,graphics/hullmods/accelerated_shields.png
Bobines de Phase Adaptatives,adaptive_coils,2,,,"phase, merc, standard",Phase,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"Les bobines de phase peinent à maintenir une connexion avec l’espace normal quand le flux fixe du vaisseau augmente, résultant en une réduction drastique de la vitesse maximale.

Cette modification permet aux bobines de gérer des niveaux de flux fixe plus élevés, augmentant le seuil auquel la vitesse atteint son minimum de %s. Pour des bobines standard sans autre modification, le seuil passe de %s à %s.",Réduit l’impact du flux fixe sur la vitesse maximale en phase.,,graphics/hullmods/phase_field.png
Optique Avancée,advancedoptics,2,,,"offensive, merc, standard",Weapons,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"Augmente la portée des armes à faisceau de %s, mais réduit leur vitesse de rotation de %s. Cumulatif avec le Module de Ciblage Intégré.",Augmente la portée des armes à faisceau.,,graphics/hullmods/advanced_optics.png
Gyroscopes de Tourelle Avancés,turretgyros,0,,,"defensive, merc, standard",Weapons,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,Augmente la vitesse de rotation de toutes les tourelles de %s.,Augmente la vitesse de rotation des tourelles.,Augmente les dégâts aux missiles et chasseurs de %s. Augmente les dégâts aux vaisseaux plus petits de %s par différence de classe de taille.,graphics/hullmods/advanced_turret_gyros.png
Supports d’Armes Blindés,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Augmente la durabilité de toutes les armes de %s et réduit le recul de %s, mais diminue la vitesse de rotation des armes de %s. Augmente aussi le blindage du vaisseau de %s.","Rend les armes plus difficiles à désactiver, réduit le recul.",Augmente la cadence de tir de toutes les armes non-missile de %s.,graphics/hullmods/armored_weapon_emplacements.png
Kit d’Assaut,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage","Special, Defenses",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"Augmente l’intégrité de coque du vaisseau de %s, le blindage de %s, et la capacité de flux de %s.

Tentera d’engager les ennemis et d’agir comme un vaisseau de combat durant la bataille.","Augmente l’intégrité de coque, le blindage et la capacité de flux.",,graphics/hullmods/assault_package.png
Unité de Réparation Automatisée,autorepair,2,,,"engines, defensive, merc, standard",Defenses,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,Réduit le temps nécessaire pour réparer les armes et moteurs désactivés (en combat) de %s.,Augmente la vitesse de réparation des armes en combat.,"Réduit le temps de réparation à %s, et réduit la durée de surcharge de %s.",graphics/hullmods/automated_repair_unit.png
Propulseurs Auxiliaires,auxiliarythrusters,1,,,"engines, merc, standard",Engines,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,Augmente la maniabilité du vaisseau de %s.,Augmente la maniabilité.,"Augmente le bonus de vitesse à flux zéro de %s, et %s le bonus de rotation à flux zéro.",graphics/hullmods/auxilliary_thrusters.png
Télémètre Balistique,ballistic_rangefinder,2,,,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<tooltip created in the script due to lots of highlighting>,Augmente la portée de base des armes petites et moyennes en emplacements balistiques.,,graphics/hullmods/ballistic_rangefinder.png
Portes Blindées,blast_doors,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,"Installe des portes hermétiques lourdement renforcées aux jonctions critiques du vaisseau. Augmente l’intégrité de coque de %s.

Le vaisseau subit %s de pertes d’équipage en moins dues aux dommages de coque reçus en combat.","Augmente l’intégrité de coque, réduit les pertes d’équipage.",Augmente la réduction des pertes d’équipage à %s.,graphics/hullmods/blast_doors.png
