event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Pénurie alimentaire possible $onOrAt $market,L'analyse des renseignements issus de communications interceptées et d'autres sources laisse présager qu'une pénurie alimentaire pourrait survenir $onOrAt $market dans les prochaines semaines.,Hausse des prix alimentaires et baisse de la stabilité $onOrAt $market si la pénurie se produit.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Pénurie alimentaire probable $onOrAt $market,L'analyse des renseignements issus de communications interceptées et d'autres sources indique qu'une pénurie alimentaire est quasi certaine $onOrAt $market d'ici quelques semaines.,Hausse des prix alimentaires et baisse de la stabilité $onOrAt $market si la pénurie se produit.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Pénurie alimentaire probable $onOrAt $market,"Ce rapport indique qu'une pénurie alimentaire est quasi certaine $onOrAt $market, et conseille aux unités en zone de prendre les mesures nécessaires pour en maximiser l'impact.","Une flotte de secours sera probablement dépêchée depuis un système stellaire voisin ; l'intercepter prolongera la pénurie et déstabilisera davantage $market.

Vendre de la nourriture au marché noir aggravera les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Pénurie alimentaire probable $onOrAt $market,"Ce rapport indique qu'une pénurie alimentaire est quasi certaine $onOrAt $market, et ordonne aux unités de se tenir prêtes à apporter leur assistance.",Livrer suffisamment de nourriture à $market rapidement permettra de réduire la durée et l'impact de la pénurie.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Pénurie alimentaire $onOrAt $market,"Le rapport analyse la pénurie alimentaire $onOrAt $market sous un angle équilibré, sans identifier de cause précise. L'origine la plus probable semble être une défaillance en cascade d'un système logistique défaillant.","Hausse des prix alimentaires $onOrAt $market.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.
Une flotte de secours sera probablement dépêchée depuis un système stellaire voisin.

Impact de réputation accru pour la vente de nourriture. Vendre de la nourriture au marché noir aggravera les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Pénurie alimentaire critique $onOrAt $market,"Le rapport signale que la pénurie alimentaire $onOrAt $market est d'une gravité inhabituelle, et accuse l'administration de $theMarketFaction d'avoir déclenché une crise humanitaire.","Hausse des prix alimentaires $onOrAt $market.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.

Une flotte de secours sera probablement dépêchée depuis un système stellaire voisin.

Impact de réputation accru pour la vente de nourriture. Vendre de la nourriture au marché noir aggravera les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Prétendue pénurie alimentaire $onOrAt $market,"Le rapport dément catégoriquement toute rumeur de pénurie alimentaire $onOrAt $market, et appelle les citoyens responsables à faire leur devoir en signalant toute personne soupçonnée de propager des rumeurs malveillantes.","Hausse des prix alimentaires $onOrAt $market.

Stabilité réduite de $stabilityPenalty.

Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie.

Une flotte de secours sera probablement dépêchée depuis un système stellaire voisin.

Impact de réputation accru pour la vente de nourriture. Vendre de la nourriture au marché noir aggravera les troubles post-pénurie.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Pénurie alimentaire $onOrAt $market : secours en cours d'organisation sur $reliefMarket,L'analyse du trafic de communications indique qu'une flotte de secours est en cours d'organisation à $reliefMarket dans $reliefSystem et sera envoyée à $market dans un avenir proche.,"La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation à $market se dégradera davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Pénurie alimentaire $onOrAt $market : secours en cours d'organisation sur $reliefMarket,"Le rapport indique qu'une flotte de secours est en cours d'organisation à $reliefMarket dans $reliefSystem, et devrait appareiller dans les prochaines semaines.","La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation à $market se dégradera davantage.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Pénurie alimentaire $onOrAt $market : secours en cours d'organisation sur $reliefMarket,"Le rapport indique qu'une flotte de secours est en cours d'organisation à $reliefMarket dans $reliefSystem, et devrait appareiller dans les prochains jours. Les unités à proximité sont invitées à veiller à ce que la flotte arrive à destination sans encombre.","La flotte transporte suffisamment de nourriture pour mettre fin à la pénurie.

Si la flotte n'arrive pas comme prévu, la situation à $market se dégradera davantage.",,graphics/icons/markets/food_shortage.png,,,
