id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"Une catégorie vénérable d'armes à tir rapide, peu coûteuses et facilement disponibles, utilisées efficacement contre les missiles et les chasseurs à courte portée tout au long de l'histoire du combat spatial. Quasiment inutile contre des cibles correctement blindées.

En raison de la facilité de fabrication et de modification, des centaines de variantes existent. Toute arme de ce type qui tire rapidement des projectiles inertes à propulsion chimique — facilement produits même par une autoforge rudimentaire — en dessous d'un certain calibre peut être classée comme mitrailleuse légère de vaisseau. Les mécanismes qui actionnent ces armes varient considérablement.

Populaire auprès des petits vaisseaux civils en raison de son faible coût. Des projectiles gainés de métaux à point de fusion élevé permettent une plus grande vélocité en sortie de canon et délivrent une quantité d'énergie cinétique étonnamment importante à courte portée.",,,,,
lightdualmg,WEAPON,"Une version améliorée à double canon de la vénérable mitrailleuse légère. Inefficace contre les cibles blindées, mais excellant dans un rôle anti-missile et anti-chasseur depuis l'aube du combat spatial humain.

Il s'agit d'un affût double de la même arme à projectiles chimiques inertes de petit calibre à tir rapide, connue de tous les pilotes du Secteur. Un excellent affût de défense de point, qui excelle tant dans l'interception de missiles que dans le rôle anti-chasseur.

La grande quantité d'énergie cinétique délivrée aux systèmes de bouclier des vaisseaux ennemis à courte portée provoque généralement une surcharge des émetteurs, une option tactique souvent négligée par les capitaines inexpérimentés.",,,,,
lightmortar,WEAPON,"Une arme obsolète qui tire des obus anti-blindage à faible cadence de tir, vélocité et portée. Sa faible génération de flux est son seul atout.

Les plans du mortier léger n'étaient pas destinés aux vaisseaux spatiaux, mais une modification ingénieuse du mécanisme de culasse permet son installation et son utilisation hors d'un environnement atmosphérique. En combat, le mortier léger ne peut pas faire grand-chose contre des cibles mobiles ou protégées par un bouclier en raison de sa rotation de tourelle et de sa cadence de tir déplorables. Néanmoins, il est souvent utilisé pour former les officiers artilleurs novices aux subtilités des tactiques balistiques spatiales et de la nomenclature.

Couramment monté sur les yachts privés et les véhicules interplanétaires solo en raison de sa faible masse et de son coût réduit.",,,,,
heavymortar,WEAPON,"Une arme obsolète qui tire des obus anti-blindage plus gros à une cadence de tir légèrement supérieure à celle de son petit cousin. La vélocité des projectiles est faible et la portée effective courte. Sa faible génération de flux est son seul atout.

Le mortier lourd a été conçu à l'origine pour le combat de surface planétaire. Officiellement destiné à percer les fortifications, il a été bien plus utilisé pour le bombardement urbain. Les mécanismes internes robustes permettent son installation et son utilisation hors d'un environnement atmosphérique avec seulement des ajustements mineurs, notamment le remplacement du module automatique de télémétrie/ciblage. Employé contre des cibles volumineuses, sans bouclier et lentes, le mortier lourd peut s'avérer des plus efficaces.",,,,,
vulcan,WEAPON,"Une arme à tir rapide particulièrement dévastatrice contre les missiles et les chasseurs à bout portant. La précision se dégrade fortement lors de rafales prolongées.

Cette plateforme d'arme multi-canons est construite autour d'un mécanisme de synchronisation avancé généralement fabriqué uniquement par les autofactories autorisées par l'Hegemony. Les munitions utilisent typiquement des pointes en uranium appauvri et sont non explosives. Les canons multiples permettent une cadence de tir extrêmement élevée, bien qu'au prix d'un coût en flux élevé.",,,,,
lightac,WEAPON,"Un autocanon de petit calibre avec une bonne portée pour une arme aussi légère. Conçu pour contrer les boucliers ennemis, il est particulièrement efficace contre les générateurs les plus faibles montés sur les coques de petite taille.

Ses obus cinétiques à haute vélocité en font une excellente arme d'appui-feu pour les petits vaisseaux. La faible vitesse de rotation de tourelle due à un autochargeur complexe et un refroidissement liquide font de l'autocanon léger un mauvais choix contre les chasseurs et les missiles.",,,,,
lightdualac,WEAPON,"Une version à double canon de l'autocanon léger. Une excellente arme pour le soutien rapproché, très efficace pour abattre les boucliers, mais souffrant d'une portée effective réduite en raison du fort recul.

Une conception mécanique ingénieuse empêche les ports d'éjection de se bloquer tout en expulsant deux fois plus de douilles usagées que le châssis standard de l'autocanon léger. Comme la version mono-canon, l'arme tire des obus à haute vélocité conçus pour percer les boucliers ennemis. Les systèmes d'autochargeur et de refroidissement liquide sont par ailleurs identiques à la version mono-canon.",,,,,
lightag,WEAPON,"Un canon de petit calibre conçu pour les combats rapprochés, excellent contre le blindage et doté d'une cadence de tir superbe.

Canon de petit calibre conçu pour tirer des obus explosifs. La conception des systèmes de refroidissement et de l'autochargeur met l'accent sur la sécurité et la prévention des départs intempestifs potentiellement causés par des niveaux de flux élevés. Apprécié des capitaines de destroyers qui ont quelque chose à prouver.",,,,,
fragbomb,WEAPON,"Libère un essaim de sous-munitions flottantes qui conservent l'élan du vaisseau lanceur. Les sous-munitions sont équipées d'une fusée de proximité.

Un projecteur de bombes à fragmentation tire des sous-munitions de fragmentation Mark VI depuis trois tubes. Non guidées et dépourvues de système de propulsion, les sous-munitions s'appuient sur un système de ciblage ami-ennemi. Leur grand nombre leur permet de couvrir une large zone de l'espace, créant effectivement une barrière de défense de point à cet emplacement, bien que pour un temps limité. Lorsque la fusée de proximité est déclenchée par un vaisseau ennemi, la sous-munition explose, produisant des effets similaires à ceux des armes de flak.",,,,,
clusterbomb,WEAPON,"Libère un essaim de sous-munitions flottantes à haute puissance explosive. Plus efficace contre les cibles sans bouclier et lentes.

Un projecteur de bombes à fragmentation est équipé de trois tubes conçus pour tirer des dizaines de sous-munitions Mark II à pénétrateur à charge formée. Les sous-munitions ne sont pas guidées et n'ont pas de système de propulsion, comptant sur l'élan initial du vaisseau d'attaque pour engager la cible. Elles sont équipées d'un scanner de ciblage ami-ennemi et n'explosent qu'à l'impact avec une cible appropriée. La charge explosive formée est très efficace contre les cibles sans bouclier. Le nombre considérable de sous-munitions pouvant être déployées par ce système d'arme est stupéfiant, ce qui fait de la bombe à fragmentation une arme de déni de zone très utile.",,,,,
bomb,WEAPON,"Un système d'armement éprouvé : la soute à bombes contient plusieurs ogives qui comptent sur la vélocité du vaisseau lanceur pour atteindre leur cible.

Chaque soute à bombes est équipée de plusieurs bombes explosives Comp-X non guidées qui peuvent être larguées une à la fois. Les bombes n'ont pas de système de propulsion et dépendent de la vélocité du vaisseau lanceur pour les porter jusqu'à la cible (c.-à-d. bombardement en piqué). Le blindage atmosphérique intrinsèque à la conception confère également aux bombes une durée de vie élevée dans un environnement de défense de point hostile.",,,,,
lightneedler,WEAPON,"Tire des rafales de petites fléchettes à haute cadence de tir. Le volume de feu peut rapidement submerger les projecteurs de bouclier, mais est généralement inefficace contre le blindage.

Un needler léger est un canon à fléchettes de petit calibre, conçu pour tirer des munitions sans douille. Il dispose d'un système d'alimentation impressionnant capable de délivrer des centaines de « needles » par seconde. L'absence de système d'éjection permet d'utiliser l'espace économisé pour des unités de refroidissement supplémentaires, améliorant considérablement la cadence de tir.

La doctrine navale du Domain veut que l'arme soit utilisée contre les boucliers ennemis à longue portée, mais en cas d'urgence, les officiers artilleurs dirigent leurs needlers contre les ailes de chasseurs ennemis et les menaces de missiles à longue portée.",,,,,
railgun,WEAPON,"Une amélioration high-tech de l'autocanon, le railgun tire des projectiles précis à moyenne portée. Comme l'autocanon, il excelle à submerger les générateurs de bouclier ennemis.

Version miniaturisée du canon Gauss, le railgun s'appuie sur un puissant champ magnétique pour propulser des obus à haute vélocité. La précision et la portée sont excellentes, et la tourelle peut pivoter rapidement lorsqu'elle ne tire pas.

Le railgun est préféré à l'autocanon par les officiers artilleurs disposant d'une capacité de flux suffisante.",,,,,
shredder,WEAPON,"Un canon rotatif généreusement conçu pour offrir une grande facilité d'utilisation et une fiabilité exemplaire. Les officiers d'armement des marines professionnelles du Secteur Persean, quant à eux, maudissent le Thumper pour encourager les mauvaises habitudes de maintenance.

Déchiquète les missiles et chasseurs ennemis avec une grêle écrasante d'obus de fragmentation à faible charge et vélocité moyenne. Bien qu'efficace en termes de flux, ce système d'arme a peu d'effet contre le blindage et les boucliers.",,,,,
flak,WEAPON,"Un système d'arme défensif qui tire des obus remplis de shrapnels équipés d'une fusée de proximité pour une efficacité maximale contre les chasseurs et les missiles.

La montée en puissance des petits chasseurs bon marché, particulièrement dans le rôle d'attaque, a conduit à un déploiement plus large de ce système d'arme durant les jours exaltants d'avant l'Effondrement. Tire des obus balistiques équipés d'une fusée de proximité. L'explosion qui en résulte projette une grêle de fléchettes dans un large volume avec un rayon de destruction respectable contre les cibles standard. Les modèles récents disposent d'un système de conduite de tir câblé à un prédicteur Mark VI.",,,,,
heavymg,WEAPON,"Le cousin plus imposant de la catégorie omniprésente des mitrailleuses à tir rapide, la mitrailleuse lourde est efficace contre les cibles de petite et moyenne taille.

Cheval de bataille des vaisseaux de patrouille à travers le Secteur, ce système d'arme dispose d'un mécanisme de tir à recul fiable dont on dit qu'il remonte à l'époque de Old Earth. Les dispositifs de sécurité comprennent une sécurité positive anti-déflagration pour le nettoyage à culasse ouverte et la prévention de double alimentation. L'arme est généralement montée sur une base relativement massive pour absorber le recul lors des rafales prolongées. Les calibres varient dans une gamme modérée et les munitions sont facilement fabriquées par des forges standard.

Les projectiles plus lourds ne se fragmentent pas à l'impact comme les munitions plus légères et représentent une menace crédible pour les vaisseaux de classe frégate. Extrêmement précise, bien que tirant moins vite qu'un canon Vulcan. Excelle dans un rôle de défense de point.",,,,,
arbalest,WEAPON,"Une conception d'arme obsolète offrant des dégâts élevés par tir pour sa taille. Les obus cinétiques sont particulièrement efficaces contre les boucliers ennemis.

Les vaisseaux de patrouille lourds à l'époque de l'Effondrement étaient pour la plupart équipés de la plateforme d'arme Arbalest Mk I ; cela explique probablement pourquoi l'Arbalest est réputée être l'un des systèmes d'armes les plus récupérés du Secteur. Le système de refroidissement primitif et l'absence d'éjecteur automatique nuisent à la cadence de tir et à la fiabilité.

Le seul atout est l'ubiquité des plans de l'obus d'arbalète, qui est efficace pour abattre les boucliers ennemis. L'efficacité des obus est mal comprise et serait liée aux propriétés électromagnétiques involontaires des chemises des obus.",,,,,
dualflak,WEAPON,"Un affût double amélioré et redoutablement efficace du canon flak. Surnommé « La Faiseuse de Veuves » pour sa capacité à déchiqueter les chasseurs en approche.

Tout comme le canon flak standard, cette arme dévaste les cibles plus petites comme les chasseurs et les missiles, bien qu'elle tire deux obus équipés de fusées de proximité. La dispersion calibrée assure une double détonation et un rayon de destruction supérieur. Les chasseurs sont rarement lancés intentionnellement contre des vaisseaux équipés de flak double, pour des raisons évidentes. Excellente cadence de tir et vitesse de rotation de tourelle.",,,,,
chaingun,WEAPON,"La mitrailleuse rotative GA-X Industries Mk. II excelle dans les combats rapprochés, où la précision importe moins que les dégâts globaux et le volume de feu.

L'outil favori du capitaine adepte du « corps-à-corps », la mitrailleuse d'assaut délivre des obus explosifs à charge formée sur la cible à une cadence redoutable. Elle dispose de systèmes d'alimentation et d'éjection motorisés et d'une unité de nano-refroidissement avancée intégrée directement dans le canon.

Le seul inconvénient est un profil de tourelle plus lourd qui, combiné à l'absence du plan du régulateur associé, est typiquement monté sur des rotateurs incompatibles, provoquant des vitesses de rotation de tourelle anormalement basses.",,,,,
heavymauler,WEAPON,"Un système d'arme avancé conçu pour percer les plaques de blindage à longue portée. Cadence de tir soutenue faible mais dégâts élevés par rafale.

Le mauler lourd est une arme brutale conçue pour engager les cibles à moyenne et longue portée. À la base, l'arme est un autocanon doté d'un système de nano-refroidissement et d'un port d'éjection externe. Cependant, contrairement aux autocanons classiques, le mauler lourd se distingue par un chargeur de canon à antimatière alimenté par des quantités infimes de carburant standard de vaisseau.

En quittant la chambre de tir, chaque ogive est chargée d'un champ d'antiprotons qui planent à 10-20 nanomètres en avant de l'obus, stabilisés par un revêtement baryonique. À l'impact avec une cible, cette « gaine » d'antiprotons perd son intégrité structurelle et la réaction qui en résulte cause des dégâts supplémentaires. Étant donné que les obus délivrent déjà une force destructrice impressionnante, la réaction combinée rend le mauler lourd particulièrement efficace contre les cibles blindées.",,,,,
