id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"A category of venerable low-cost, readily available rapid fire arme which has been used effectively versus missiles and fighters at short portée throughout le history of space combat. Nearly useless versus properly armored targets.

Due to ease of manufacture and modification, hundreds of variants exist. Any of these weapons which rapidly fire chemically propelled inert projectiles - easily churned out by even un crude autoforge - under un certain caliber can be classified as light ship-mounted machine guns. le mechanisms which propulsion le actions of these weapons vary considerably. 

Popular with small civilian craft due to low cost. Projectiles jacketed with metals that have un high melting point allow greater muzzle velocity and deliver un surprisingly large amount of kinetic énergie at close-portée.",,,,
lightdualmg,WEAPON,"An upgraded, twin barrel version of le venerable light machine gun. Not effective against armored targets, but has excelled in an anti-missile and chasseur role since le dawn of human space combat.

This is un dual mount of le same rapid fire, inert, low-caliber chemical projectile arme known to every pilot in le Sector. An excellent point défense mount, which excels in both un missile interdiction and anti-chasseur role. 

le large amount of kinetic énergie delivered to bouclier systems of enemy craft at close-portée typically causes emitter overload, un tactical option often overlooked by inexperienced captains.",,,,
lightmortar,WEAPON,"An antiquated arme that fires anti-blindage rounds at un low rate of fire, muzzle velocity, and portée. Its low flux buildup is un lone saving grace.

le arme blueprints for Light Mortars were not intended for spacecraft at all, but an ingenious modification to le breech loading mechanism permits installation and use outside an atmospheric environment. In combat, there is little le Light Mortar can do versus moving or shielded targets due to its terrible mount rotation and rate of fire. Nonetheless, it is often used for training novice gunnery officers in le finer points of space balistique tactics and nomenclature.

Commonly fitted on private yachts and solo interplanetary vehicles due to low mass and cost.",,,,
heavymortar,WEAPON,"An antiquated arme that fires larger anti-blindage rounds at un somewhat higher rate of fire than its smaller cousin. Projectile vitesse is low and effective portée is short. Low flux buildup is un lone saving grace.

le Heavy Mortar was originally designed for use in planetary surface combat. Ostensibly intended for cracking fortifications, it saw far more use in urban bombardment. le robust internal mechanisms permit installation and use outside an atmospheric environment with only minor adjustments, notably replacement of le automatic rangefinder/ciblage module. When employed against large, unshielded, and slow-moving targets, le heavy mortar can prove most effective.",,,,
vulcan,WEAPON,"A rapid fire arme that is especially devastating to missiles and fighters at near point-blank portée. Accuracy degrades sharply during prolonged bursts of fire. 

This multi-barrel arme platform is built around an advanced timing mechanism generally manufactured only by Hegemony-authorized autofactories. Rounds typically use depleted uranium tips and are non explosive. Multiple barrels enable an extremely high rate of fire, though at un high flux cost.",,,,
lightac,WEAPON,"A small caliber autocannon with un good portée for such un light arme. Designed to counter enemy shields, it is especially effective against le weaker generators mounted on smaller coque sizes.

Features high velocity kinetic rounds which provide excellent fire soutien arme for smaller craft. Poor mount turn rate due to un complex autoloader and liquid cooling make le Light Autocannon un bad choice vs fighters and missiles.",,,,
lightdualac,WEAPON,"A double barreled version of le Light Autocannon. An excellent arme for close-portée soutien, and quite effective at bringing shields down, it suffers from un shorter effective portée due to high recoil.

An ingenious mechanical design prevents ejection ports from being jammed while expelling twice as many spent shell casings as le standard Light Autocannon chassis. Like le single barrel version, le arme fires high velocity rounds designed to punch through enemy shields. Autoloader and liquid cooling systems are otherwise identical to le single barrel version.",,,,
lightag,WEAPON,"A small caliber cannon designed for close-portée fights, excellent versus blindage and with un superb fire rate.

Small caliber cannon designed to fire high-explosive rounds. Design of le coolant systems and autoloader emphasizes safety and prevention of cook-off potentially caused by high flux levels. Favored by destroyer captains that have something to prove.",,,,
fragbomb,WEAPON,"Releases un cluster of free-floating bomblets that retain le momentum of le launching craft. le bomblets are equipped with un proximity fuse.

A Frag Bomb projector fires Mark VI fragmentation bomblets from three tubes. Unguided and without un propulsion système, le bomblets rely on un friend-or-foe ciblage système. Their vast numbers allow them to cover un wide swath of space, effectively creating un Point défense barrier in that location, albeit for un limited time. When le proximity fuse is triggered by an enemy craft, le bomblet will detonate, achieving similar effects to those of flak weapons.",,,,
clusterbomb,WEAPON,"Releases un cluster of free-floating, high-explosive bomblets. More effective versus unshielded and slow-moving targets.

A Cluster Bomb projector is equipped with three tubes designed to fire dozens of Mark II Explosively Formed Penetrator bomblets. le bomblets are unguided and have no propulsion système, relying on le initial momentum of le frappe craft to engager le target. They are equipped with un friend-or-foe ciblage scanner, and will only detonate when impacting an appropriate target. le shaped charge explosive is highly effective versus unshielded targets. le sheer number of bomblets that can be deployed by this arme système is staggering, and as such it makes le Cluster Bomb un useful area denial arme.",,,,
bomb,WEAPON,"A tried and tested arme système, le bomb bay holds multiple warheads that rely on le velocity of le launching craft to reach their target.

Each bomb bay is equipped with several non guided high-explosive Comp-X bombs that can be released one at un time. le bombs have no propulsion système and are dependent on le velocity of le launching craft to carry them to target (i.e., dive bombing).  Atmospheric shielding intrinsic to le design also gives le bombs un high Time To Live in an hostile Point-défense environment.",,,,
lightneedler,WEAPON,"Fires bursts of small flechettes at un high rate of fire. le volume of fire can quickly overwhelm bouclier projectors, but is generally ineffective against blindage.

A Light Needler is un small-bore flechette gun, designed to fire caseless ammunition. Features an impressive feed système which can deliver hundreds of « needles«  per second. There is no need for an ejector système, and le saved space is used to provide additional cooling units, vastly enhancing le rate of fire. 

Domain Naval doctrine holds that le arme is to be used on enemy shields at long-portée, but in un pinch, gunnery officers will train their Needlers on enemy chasseur wings and long-portée missile threats.",,,,
railgun,WEAPON,"A high-tech improvement of le Autocannon, le railgun fires accurate, medium-portée slugs. Like le AC, it excels at overwhelming enemy bouclier generators.

A miniaturized version of le Gauss Cannon, le railgun relies on un strong magnetic field to fire shells at high velocities. le accuracy and portée are excellent, and le turret is able to rotate quickly while not firing. 

le railgun is preferred to le Autocannon by gunnery officers that have ample flux capacité at their disposal.",,,,
