original,translation
"You can change the frequency of tips by adding a json object instead of a string, like so. For example, this tip has a frequency of 0 and will never show up. The default freq value is 1.","Vous pouvez modifier la fréquence d'apparition des conseils en utilisant un objet JSON plutôt qu'une simple chaîne de caractères. Par exemple, ce conseil a une fréquence de 0 et n'apparaîtra jamais. La fréquence par défaut est 1."
"Lower your shields to dissipate \"hard\" flux generated by taking shield damage.","Désactivez vos boucliers pour dissiper le flux « dur » généré par les dégâts qu'ils subissent."
"Shields and weapons both generate flux, so lowering your shields to take some hits on hull and armor will increase your sustained firepower. This can be vital, especially for heavily armored ships.","Les boucliers et les armes génèrent tous deux du flux. Désactiver temporairement vos boucliers pour encaisser quelques tirs sur la coque et l'armure augmentera votre puissance de feu soutenue. Cette tactique est particulièrement efficace avec les vaisseaux lourdement blindés."
"Beam weapon damage to shields generates \"soft\" flux that can be dissipated without dropping shields","Les armes à faisceau touchant les boucliers génèrent du flux « mou » qui peut être dissipé sans désactiver les boucliers."
"Press TAB to toggle the command UI. Use the command UI to give orders to your fleet.","Appuyez sur TAB pour activer l'interface de commandement et donner des ordres à votre flotte."
"Ordering a ship to escort another will limit the escort's mobility. Use this command with care.","Attention : assigner un vaisseau en escorte limite sa mobilité. Utilisez cet ordre avec précaution."
"If your shields take too much damage, the ship will overload and weapons and shields will be disabled for a few seconds.","Si vos boucliers subissent trop de dégâts, le vaisseau entrera en surcharge, désactivant armes et boucliers pendant quelques secondes."
"Long-range missiles (LRMs) can hit targets beyond visual range. Press Tab to open the command UI and target distant ships by clicking on them and selecting 'Set as Target'.","Les missiles à longue portée (LRM) peuvent toucher des cibles au-delà de votre champ de vision. Ouvrez l'interface de commandement (TAB) et cliquez sur les vaisseaux éloignés pour les marquer comme cible."
"In combat, move the mouse to scroll the view. Press 'T' to lock your view onto your target, and press 'T' again to return to normal view.","En combat, déplacez la souris vers les bords de l'écran pour faire défiler la vue. Appuyez sur 'T' pour verrouiller la caméra sur votre cible, et de nouveau sur 'T' pour revenir à la vue normale."
"Press LMB to fire and RMB to use the shields. Use WASD to pilot the ship.","Utilisez le clic gauche pour tirer et le clic droit pour activer les boucliers. Les touches ZQSD contrôlent le vaisseau."
"Kinetic damage is good against shields, while high-explosive damage is good against armor.","Les dégâts cinétiques sont redoutables contre les boucliers, tandis que les dégâts hautement explosifs excellent contre l'armure."
"Fragmentation damage is poor against everything but exposed hull, but weapons dealing it tend to be very flux-efficient.","Les dégâts de fragmentation sont peu efficaces contre tout sauf la coque exposée, mais les armes qui en infligent sont généralement très économes en flux."
"Energy weapons do equally well against both shields and armor, but aren't as good as more specialized damage types vs either.","Les armes à énergie sont également efficaces contre les boucliers et l'armure, mais ne sont pas aussi bonnes que les types de dégâts plus spécialisés contre l'un ou l'autre."
